jobId,title,companyName,location,experience,minimumExperience,maximumExperience,minimumSalary,maximumSalary,salary,currency,jobUploaded,jobDescription,tagsAndSkills,companyId,ReviewsCount,AggregateRating,suggested_role,role_evidence,role_score
260925025955,Fullstack Developer,ElevenX Capital,Gurugram,6-11 Yrs,6,11,2000000,3500000,20-35 Lacs PA,INR,7 Days Ago,"<p>                                   <strong><u>WORK FROM OFFICE - MON-FRI</u></strong></p><p>                                   <strong><u>SHIFT TIMINGS - 12 PM - 9 PM</u></strong></p><p>                                   <u><strong>OFFICE LOCATION - GURUGRAM</strong></u></p><br /><br /><p><strong><u>Position Overview</u></strong></p><p> </p><p>As a Full Stack Developer, you will design, develop, and maintain scalable web  applications using React on the frontend and Java (Spring Boot) on the back-end. You  will collaborate closely with product managers, UX designers, and other developers to  deliver high-quality, performant, and user-friendly software.</p><br /><p><strong><u>Key Responsibilities</u></strong></p><p> </p><p>• Design, develop, and maintain modern web/mobile applications with React and  Java (Spring Boot). </p><p>• Build responsive, cross-browser-compatible user interfaces with a focus on  usability and performance. </p><p>• Develop RESTful APIs and integrate frontend and backend services. </p><p>• Write clean, maintainable, and testable code following best practices. </p><p>• Optimize application performance and scalability. </p><p>• Collaborate with cross-functional teams to gather requirements and deliver  solutions on time. </p><p>• Participate in code reviews, mentoring, and technical discussions. </p><p>• Troubleshoot, debug, and upgrade existing systems. </p><p>• Ensure security, performance, and reliability of applications. </p><br /><p><strong><u>Required Qualifications</u></strong> </p><br /><p>• Bachelor's degree in computer science, Software Engineering, or related field  (or equivalent experience). </p><p>• 6+ years of hands-on experience in full-stack development. </p><p>• Strong proficiency in React.js and related libraries (React Router, Redux, etc.). </p><p>• Solid experience in Java with frameworks like Spring Boot or Jakarta EE. </p><p>• Proficient in HTML5, CSS3, JavaScript (ES6+), and RESTful API development. </p><p>• Strong understanding of database technologies (MySQL, MongoDB). </p><p>• Experience with version control systems (Git). </p><p>• Strong problem-solving and communication skills.</p><br /><br />","Java,Spring Boot,Microservices,MongoDB,React.Js,CSS,Redux,HTML",3075474,7,1.4,Software Engineer,description:software engineer; description:full stack; title:fullstack; description:frontend; description:backend,12.68
260925010681,Information Security Auditor,TVS Credit Services Ltd,Chennai,3-8 Yrs,3,8,550000,1550000,5.5-15.5 Lacs PA,INR,7 Days Ago,"Ability to adapt to a fast-paced culture,changes in the environment and shifts in priorities<br><br>Required Qualifications,Capabilities And Skills:  . At least 5 years of relevant experience<br><br>Must have experience with core cybersecurity operations and one or more cyber security tools / process areas (e.g<br><br>Good verbal and written communication","Information Security Audit,Information System Audit,Cyber Security,Auditing,Security,Information System,Security audit,Cyber",1324750,2892,4.2,Cybersecurity,description:cybersecurity; skills:cyber security; description:cyber security; title:information security; skills:information security,11.7
230925018146,Calypso Business Analyst L3 - Bangalore,Net Connect,Bengaluru,5-7 Yrs,5,7,500000,1000000,5-10 Lacs PA,INR,10 Days Ago,"Have 5 - 7 years of Calypso Back Office working experience with strong domain knowledge of capital markets,including exposure to different asset classes like Fixed Income,Equities,Repos,Sec Lending,and Money Market products<br><br>Identify dependencies and coordinate with other teams as required<br><br>Have experience in coordination and project management within a structured framework","Capital Market,Calypso Business Analyst,Project Management,Back Office,SQL,Repos,Bonds,Analytical",202650,573,3.2,Data Analyst,title:business analyst; skills:business analyst,8.16
190825011528,Vehicle Dynamics Engineer,Renault Nissan Technology and Business Centre India (RNTBCI),Hybrid - Chennai,5-10 Yrs,5,10,1200000,1900000,12-19 Lacs PA,INR,7 Days Ago,"Ability to perform Automation using Python & Java Script (Node JS) is desirable<br><br>RELEVANT EXPERIENCE . 5 - 8 years of experience in CAE for Automotive with good knowledge of Chassis,Suspension & Steering <br><br>Good knowledge of fundamental physics and vehicle dynamics theory<br><br>Experience in resolving vehicle issues using CAE techniques","Carsim,Vehicle Dynamics,Steering,Amesim,Adams,CAE,Suspension,Simulink",256480,2059,3.8,Software Engineer,description:node js,0.5
170925022548,Application Delivery Manager,SBI General Insurance,Thane,5-8 Yrs,5,8,750000,1500000,7.5-15 Lacs PA,INR,4 Days Ago,experience with Agile / Scrum,"Java,Full Stack Application Development,SQL,API,Python,Leadership,Spring Boot,Ci/Cd",737659,1983,3.6,Software Engineer,skills:full stack,2.0
160925030267,Backend Executive Sales Coordinator,Skyway Solution,Ludhiana,4-8 Yrs,4,8,200000,300000,2-3 Lacs PA,INR,Just Now,"Location- Ludhiana

Industry: Lubricants (Automotive & Industrial)

Salary- upto 25K
Graduate
Experience- 4 to 5 years of experience in Tally

Should be familiar with order processing, dispatch coordination, and sales back-end support.Local candidates preferred
Good communication skills (Hindi & basic English)
Preferably worked in a C&F setup as a billing person","Tally,Lubricants,Dispatch,Payments,Sales Coordination,Automotive,Invoicing,Follow Ups",4315412,965,3.7,Software Engineer,title:backend,5.07
60825017588,Computer Teacher,Mars Placement And Hr Solutions,Modinagar,2-5 Yrs,2,5,125000,300000,1.25-3 Lacs PA,INR,Just Now,"Reputed CBSE schools require skilled Computer Teachers with AI knowledge, B.Ed, strong communication, modern teaching & tech expertise. CBSE board exposure essential. Multiple locations available.Innovative well-known Computer Skills, B.Ed-qualified Computer Teacher with AI expertise, CBSE experience, excellent communication & digital skills. Passionate educator, adaptable & ready to relocate.","Bed,Ai Algorithms,Ai Techniques,Computer Teaching,English Language,Ai Solutions,Artificial Intelligence,English",124395776,965,3.7,AI/ML Engineer,skills:artificial intelligence,2.0
31025019046,Tririga Business Analyst,Quantum Strides India,Chennai,5-10 Yrs,5,10,1200000,2400000,12-24 Lacs PA,INR,Just Now,"<p> </p><ul><li>5-8 years of experience as a Business Analyst, with at least 3+ years of TRIRIGA functional consulting.</li><li>Strong understanding of TRIRIGA modules: Lease Administration, Space & Move Management, O&M, and Capital Projects.</li></ul>","PMP,ITIL Certified,Business Analyst,IBM TRIRIGA,Tririga,ITIL,Business analysis,Certified",124620278,965,3.7,Data Analyst,title:business analyst; skills:business analyst; description:business analyst,8.66
31025017987,Php Developer,Ridhab Techno,Jammu(Jammu Cantonment),4-5 Yrs,4,5,480000,720000,4.8-7.2 Lacs PA,INR,Few Hours Ago,"<p>Design, develop, test, and deploy full-stack applications using PHP Laravel and React.js.  Collaborate with cross-functional teams to identify project requirements and deliver high-quality solutions.  Write clean, reusable, and optimized PHP code.</p>

Health insurance
Provident fund
Annual bonus","Php Laravel,Laravel,Core PHP,Php Development,MySQL,Development,Core,PHP",124335902,965,3.7,Software Engineer,title:php developer; title:developer,10.22
21025008021,Sales Executive (Male only) (Required urgent),Dip Projects PMC,"Bharuch, Valsad, Surat",1-6 Yrs,1,6,70000,300000,"70,000-3 Lacs PA",INR,1 Day Ago,"Promote and sell PMC services. 
Develop and maintain strong relationships with industrial clients, architects, consultants, contractors, and developer. 
Willingness to travel across project locations.","Negotiation,Relationship Building,Communication Skills,Pressure Handling,Product Presentation,Sales Initiatives,Convincing Ability,Lead Generation",124476990,3,5.0,Software Engineer,description:developer,0.5
