jobId,title,companyName,location,experience,minimumExperience,maximumExperience,minimumSalary,maximumSalary,salary,currency,jobUploaded,jobDescription,tagsAndSkills,suggestedRole,roleEvidence
74655679,"Data Analyst - Asset Management, SPX Express",Shopee Mobile Malaysia Sdn Bhd,Klang District,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 04:22:43,"Performs detailed data analysis on existing spendings / consumptions of SPX and identifies cost saving areas.
Plan out and rollout cost saving initiatives to realize cost savings, from planning to execution.
Plots out automated dashboards for operations accountability towards Assets and consumptions for indefinite operations tracking.
Sets out SOPs tightening controls over asset accountability and consumables leakage prevention.
Requirements:
Diploma / Bachelor’s degree in any relevant field.
Prior engagement in data analysis, cost saving, budgeting, audits, data management, process improvements, operations planning would be an added advantage.
Has an eye for detail and is comfortable working in a fast-paced environment.
Portray the ability to manage complex issues, solutions oriented and able to work in a dynamic environment across cross-functional teams.
Able to proactively provide feedback and updates to relevant stakeholders is required.
Working location:
Pulau Indah, Westport","Manufacturing, Transport & Logistics, Analysis & Reporting, asset-management-analyst, Full time",Data Analyst,Title
74676786,Penetration Tester,MODE FAIR SDN BHD,Kuala Lumpur,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 23:59:12,"Overview:
We are seeking an experienced Security Penetration Tester to join our Information Security team. This role is pivotal in identifying and mitigating vulnerabilities within the systems and infrastructures we manage and develop for our clients. By ensuring our clients' defenses are rigorously tested against the latest threats, the ideal candidate will play a critical role in safeguarding our clients' digital environments against evolving security challenges.
Responsibilities:
Perform thorough source code reviews to detect potential security vulnerabilities and weaknesses in applications we develop, leveraging insights from industry best practices and previous projects.
Simulate cyber-attacks on our managed digital environments to uncover vulnerabilities, focusing on a wide array of threats including SQL injection, cross-site scripting, privilege escalation, and more, ensuring robust security measures are in place.
Conduct comprehensive penetration testing (internal, external, white box, and black box tests) to proactively identify vulnerabilities within the systems and infrastructures we manage and develop for our clients.
Collaborate closely with our development and infrastructure teams to recommend and implement security improvements, ensuring the integration of best practices in security within the systems and applications we deliver to our clients.
Prepare detailed reports and risk assessments for both internal stakeholders and clients, highlighting identified vulnerabilities, the results of penetration tests, and recommended mitigation strategies.
Stay abreast of the latest security trends, tools, and technologies, applying this knowledge to continuously enhance the security posture of our clients' systems and applications.
Qualifications:
Bachelor’s or Master’s degree in Computer Science, Information Security, or a related field.
Demonstrated experience in security penetration testing, including conducting source code reviews and penetration tests for a diverse range of clients.
Strong understanding of network protocols, cryptography, web and application security principles.
Proficient with penetration testing tools such as Metasploit, Burp Suite, Nessus, Kali Linux's tools, and others.
Experience with programming and scripting languages (Java, JavaScript and others).
Knowledge of operating system internals, particularly with respect to security (Linux, Windows).
Relevant security certifications (OSCP, CEH, GPEN, etc.) are considered a plus, highlighting a commitment to professional development and expertise in the field.
Excellent problem-solving skills and ability to think like both an attacker and a defender.
Strong communication skills, with the ability to present findings and recommendations in a clear and concise manner.","Information & Communication Technology, Security, penetration-tester, Full time",Cybersecurity,Title
74653378,Data Analyst (E-Commerce),AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,Kuala Selangor District,1-2 years,1,2,4000,4500,"RM 4,000 – RM 4,500 per month",MYR,2024-03-22 03:29:54,"Client Background
The company is established in 2016 in Johor. They has been growing rapidly into a full-fledged E-commerce enabler, riding the wave of the booming E-commerce industry in Malaysia. They take the guesswork out of E-commerce operations for their partners by working hand-in-hand with brands to handle E-commerce operations through their full-fledged management system and fulfilment solutions. They are also the official E-distributor for Nestle Malaysia, carrying on-board the full range of Nestle products, with a focus on serving their business partners in the E-businesses.
Working Location
Eco Perindustrian, Puncak Alam
Working Mode
Fully work in office
Working Hours
Mon – Fri, 9am – 6pm
Tenure
Permanent
Job Description
Analyze and interpret key indicators in e-commerce such as sales performance, SKU sales, traffic, conversion rates, buying behavior, pricing, etc.
Provide valuable insights and identify trends based on the sales data and suggest recommendations and key action plans
Provide competitor analysis
Evaluation of the effectiveness of sales and marketing tools and mechanics
Creating and developing tools for analysis and information processing
Presenting the results of reports and graphical modeling of data
Work closely with the E-Commerce sales team to increase sales and revenue
Develop and maintain data pipelines to ensure data accuracy, integrity, and availability.
Develop and maintain E-Commerce dashboards as per client’s requests.
Providing insight to the E-Commerce sales team to optimize marketing expenses.
Data Review: reviewing and validating data from various sources (e.g. Lazada, Shopee, etc.) to ensure data quality and accuracy.
Job Requirements
Candidates must possess at least a Bachelor’s degree in Data Science, Statistics, Computer Science, or a related field
Min. 1-2 years of experience as a Data Analyst/Business Analyst/Category Management preferably in E-Commerce or FMCG role
Advanced Excel and data mining skills
Proficient in data visualization tools (e.g. Power BI) and database query languages (e.g. SQL)
Knowledge of Cloud Computing is an added advantage (e.g. Azure)
Familiarity with Azure Data Factory and Azure Synapse Pipelines is an added advantage
Ability to work independently and take the lead in projects
Strong presentation skills","Information & Communication Technology, Database Development & Administration, data-analyst, Full time",Data Analyst,Title
74676713,Machine Learning Engineer,MODE FAIR SDN BHD,Kuala Lumpur,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 23:28:48,"Overview:
As a Machine Learning Engineer, you will be instrumental in the development of our cutting-edge intelligent auto-scheduling system for our client, along with contributing to a diverse array of machine learning projects. You will work alongside a collaborative team to design, develop, and deploy sophisticated algorithms that streamline and optimize logistics and transportation workflows. Your efforts will play a crucial role in integrating these innovations into our operational framework, dramatically influencing our service quality and efficiency.
Responsibilities:
Contribute to the design and implementation of machine learning algorithms for our intelligent auto-scheduling system and additional ML solutions.
Analyze complex datasets to extract insights, identify patterns, and influence algorithm optimization for a variety of logistical challenges (capacity & load planning).
Collaborate with engineering teams to ensure the smooth integration and functionality of ML models within our infrastructure.
Continuously evaluate and iterate on machine learning models to enhance performance based on metrics and feedback from operational teams.
Keep abreast of the latest developments in AI, machine learning, and logistics technologies to maintain our competitive edge.
Communicate technical concepts and results effectively across different levels of the organization.
Requirements:
Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Machine Learning, or a related field.
Experience in machine learning and neutral networks, with a portfolio that includes projects related to model development and deployment.
Having a solid understanding and hands-on experience with algorithms beneficial to logistics and transportation optimization, such as routing algorithms, demand forecasting, or dynamic scheduling, is a plus.
Proficiency in programming languages (e.g., Python, Java) and familiarity with ML frameworks (e.g., TensorFlow, PyTorch).
Strong analytical skills for complex data analysis and problem-solving.
Effective team collaboration and communication abilities.
A passion for leveraging technology to solve real-world problems and improve customer experiences.
Openness to working in a newly formed team environment. Our machine learning team currently consists of one member, and we are looking to expand gradually. Candidates should be comfortable with the dynamics of a small, growing team and eager to contribute to shaping its development and culture.","Information & Communication Technology, Engineering - Software, machine-learning-engineer, Full time",AI/ML Engineer,Title
74596279,IT EXECUTIVE - CYBER SECURITY,IGB Berhad,Kuala Lumpur,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 07:43:14,"Job Descriptions:
Safeguard of information system assets by identifying and solving potential and actual security problems raised from any business unit.
Routine check on firewall logs on any activities for a weekly report and verify with the network security team upon receiving of any firewall updates alert.
Protects system by defining access privileges, control structures, and resources, evaluate and verify with any updates on Access Control System and SSO environment.
Recognizes problems by identifying abnormalities from all possible channels (mobiles, emails, internet proxy, firewall, VPN, RDP and other possible channels in the business unit) and reporting violations.
Handling of penetration test hand-in-hand with the vendor with  management report compilation.
Risk and Compliance Auditing uses Security Commission Malaysia as a guideline.
Arranging of awareness training to all the business units in a periodical manner, the questions and answer must be followed the latest threats and possible to causing a critical impact to any business unit.
Maintaining of the Cybersecurity Policy Guideline under the Group of companies are essential.
Job requirements:
Understanding fundamental scripting such as Python or PowerShell, HTML, JavaScript, jQuey, AJAX, .Net Framework and .Net Core.
Incidents Response is required by collaborating closely with the software development and network security teams.
Adaptability in Cyber Criminals, Advance Technology, new vulnerabilities introduced, keeping up as a lifelong leaner.
Strong analytical skills in digital forensics, curiosity and the ability to handle high-stakes pressure, personnel with creativity will be an added advantage.
Minimum 2 years working experience in similar capacity.
Good interpersonal skills.
Self-Motivated with minimal supervision","Information & Communication Technology, Security, Cybersecurity-Executive, Full time",Cybersecurity,Title
74661321,Assistant Business System Manager,Lee Kum Kee (M) Foods Sdn Bhd,Shah Alam/Subang,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 07:25:34,"Project Implementation
Gather user requirements and develop functional specifications for new system requirements and enhancements.
Analyze, design, develop, and test system functions for assigned business areas to ensure that the supporting systems meet the business requirements.
Coordinate the activities of project implementation and ensure that project requirements, timeline, budget, and scope are met.
Prepare functional specifications and authorization matrix, communicate with teams to resolve any issues in the design.
Coordinate cut over activities during system implementation.
Development and maintenance of reports using corporate standard reporting technologies.
Utilize data & process analysis methods and tools to identify system and process improvement opportunities.
Conduct knowledge transfer and training of end-users, including sharing best practices.
Business Process Modelling and End User Support
Work with the users to improve and enhance the data and analysis available in the system.
Propose work/system flows that can streamline the business processes and bring efficiency.
Act as functional and technical liaison between users and the IT application development team to deliver custom solutions.
Development and maintenance of Power BI reports and data warehouse development
Provide user support for business systems related issues including researching transactional issues, identifying root causes and driving resolution.
Requirements & Skill
Degree holder, preferably in Business Information Technology or related disciplines
Minimum 4 years experience in IT with responsibilities for SAP system configuration and support is an advantage.
Experience in business process, system and data analysis skills with business application project implementation.
Experience of working in manufacturing industry is preferred.
SAP Certification in SD/MM or SAP HANA experience will be an advantage.
BI tools (Power BI) and database experience are preferred.
Strong interpersonal and communication skills with all level of stakeholders.
Applicants must be willing to travel when required.","Information & Communication Technology, Business/Systems Analysts, business-systems-manager, Full time",Data Analyst,Description
74669586,Cloud Engineer,iZeno Sdn Bhd,Kuala Lumpur Sentral,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 12:02:43,"Responsibilities:
Design, deploy, and manage cloud infrastructure solutions based on business requirements.
Implement and configure cloud services, including virtual machines, containers, serverless functions, networking, and storage.
Setup and maintain Elastic stack components (Elasticsearch, Logstash, Kibana) for log management, monitoring, and analysis.
Configure and manage MongoDB databases for efficient data storage and retrieval.
Develop and implement automation scripts or infrastructure-as-code (IaC) templates for efficient deployment and provisioning.
Integrate cloud services with existing on-premises systems or other cloud environments.
Troubleshoot and optimize cloud infrastructure performance, including Elastic stack and MongoDB.
Implement robust security measures to protect cloud resources, data, and applications.
Collaborate with cross-functional teams to ensure smooth implementation and operation of cloud solutions.
Document procedures, configurations, and best practices.
Stay updated with the latest cloud technologies, best practices, and industry trends.
Requirements:
Bachelor's degree in Computer Science, Information Technology, or related field.
Solid understanding of cloud frameworks and services
Proficiency in implementing and configuring cloud services, including virtual machines, containers, serverless functions, networking, and storage.
Strong knowledge of Elastic stack (Elasticsearch, Logstash, Kibana) for log management and analysis.
Experience in configuring and managing MongoDB databases.
Familiarity with automation scripting and infrastructure-as-code tools (e.g., Terraform, Ansible, CloudFormation).
Knowledge of cloud security best practices and compliance standards.
Excellent collaboration and communication skills.
Continuous learning mindset and ability to adapt to new technologies.
(i) iZeno will never request recruitment fees from candidates under any circumstances. Please be cautioned of fraudulent activity including the requesting for money by perpetrators in exchange for interviews or employment opportunities with iZeno. Please note that these fraudulent actions constitute a crime and an unlawful infringement on iZeno’s brand and intellectual property rights, and we will not hesitate to take action(s) against such perpetrators in accordance with the fullest extent of the law.As a responsible organization, iZeno places great importance on conducting ethical and aboveboard recruitment processes. We advise all potential candidates to remain vigilant and report any suspicious activity encountered during their job search.
As part of any recruitment process, we collect and processes personal data relating to job applicants. We are committed to being transparent about how we collect and use that data and to meeting our data protection obligations. By applying to this post and sending us your resume, you agree to the collection, use and/or disclosure of your personal data in the manner as set out in our Data Protection Notice for Job Applicants which can be found.
Logicalis is committed to protecting your privacy.
Click below to view the data protection notice.
https://ap.logicalis.com/sites/default/files/2022-10/PIMS-A7.3-01%20Attachment%20I%20DP%20Notice%20for%20Job%20Applicants_updated9sept22.pdf
Posting code : #LI-JC1","Information & Communication Technology, Engineering - Software, cloud-engineer, Full time",Cloud Engineer,Title
74677971,"Lead, IT Security",Great Eastern Life Assurance Co Ltd,Kuala Lumpur,10+ years,10,3,3200,4500,Unknown,Unknown,2024-03-23 02:46:00,"Discover the GREAT in your career.
As a LIFE company, our customers are at the heart of all that we do. Being one of Asia’s leading insurer for over a century, we have built a long-lasting legacy of trust with our customers over many generations. At the foundation of this trust is
Integrity
,
Initiative
, and
Involvement
– from the way we treat every customer relationship with honesty and transparency, to our proactive approach of delivering the best possible solutions in both life and general insurance.
Integrity
,
Initiative
, and
Involvement
is what guides us. It is what makes us do the right thing, take the lead, and choose ‘we’ over ‘me’. Our mission is to make life great for our customers because we understand what matters most to them, and we know how to help them protect it.
If you are looking to grow in an exciting career filled with opportunities and potential, we are seeking a professional to join our team as
Lead, IT Security
.
The Role:
Oversee Great Eastern Life Malaysia (GELM) Information Security unit
Maintain the localised IT Security standards, guidelines and processes and keep them updated and aligned with Group IT
Develop and implement programmes to promote awareness on good practices in IT security
Provide management and board level reporting on metrics and KRI on IT security to relevant stakeholders
Engage and manage relationships with local regulators and auditors in audits, inspection or matters concerning IT security
Provide oversight on IT security review and decisions in Change approval committees, firewall rules changes, network design and application design for new implementation or changes to network infrastructure and applications of GELM
Assist the Head Group IT Security in the reporting of security metrics and review of standard operating procedures to ensure they are up-to-date
Conduct periodic on-site inspection for outsource vendors and provide input to the management on readiness of each outsource vendor on their security controls and any weakness in handling Great Eastern customer or sensitive information
Monitor performance and manage the SLA of external service providers in security monitoring and CSOC
As part of the leadership team, work with key stakeholders to proactively shape the organisation’s culture and conduct environment that is aligned to the organization’s Core Values
Champion culture and conduct behavioral expectations within the Department/Division
Takes accountability in considering business and regulatory compliance risks and takes appropriate steps to mitigate the risks
Maintains awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company
Highlights any potential concerns /risks and proactively shares best risk management practices
The Person:
Possess at least a degree/ professional degree/ master’s degree in Computer Science/ Information Technology/ Engineering or equivalent
At least 10 years of working experience in related field
Strong leadership, communication, and interpersonal skills
Proven track record in running Security Operation Centre (SOC)
Demonstrates alignment with the organisation’s core values through expected behaviours
High level of integrity, takes accountability of work and good attitude over teamwork.
Takes initiative to improve current state of things and adaptable to embrace new changes
Great Eastern Malaysia is committed to Equal Employment Opportunity, and all qualified applicants shall receive a fair and equal consideration for employment.
Location:
HQ, Kuala Lumpur
Entity:
Great Eastern Life Malaysia
Employment Type:
Permanent
About Great Eastern
Established in 1908, Great Eastern places customers at the heart of everything we do. Our legacy extends beyond our products and services to our culture, which is defined by our core values and how we work. As champions of Integrity, Initiative and Involvement, our core values act as a compass, guiding and inspiring us to embrace the behaviours associated with each value, upholding our promise to our customers - to continue doing our best for them in a sustainable manner.
We work collaboratively with our stakeholders to look for candidates who exhibit or have the potential to embrace our core values and associated behaviours, as these are the key traits that we expect from our employees as they develop their careers with us.
We embrace inclusivity, giving all employees an equal opportunity to shine and play their role in exploring possibilities to deliver innovative insurance solutions.
Since 2018, Great Eastern has been a signatory to the United Nations (UN) Principles of Sustainable Insurance. Our sustainability approach around environmental, social, and governance (ESG) considerations play a key role in every business decision we make. We are committed to being a sustainability-driven company to achieve a low-carbon economy by managing the environmental footprint of our operations and incorporating ESG considerations in our investment portfolios; improving people’s lives by actively helping customers live healthier, better and longer; and drive responsible business practices through material ESG risk management.
To all recruitment agencies:
Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes.","Information & Communication Technology, Security, Full time",Cybersecurity,Description
74647823,MIS EXECUTIVE,Wentel Engineering Sdn Bhd,Johor,1+ years,1,3,3200,4500,Unknown,Unknown,2024-03-22 01:14:00,"RESPONSIBILITY :
1) Responsible for daily operation of server and Database.
2) ERP application administering and support.
3) Export Data from ERP and generate report to user.
4) Responsible for monitoring Backup Data.
5) Perform system analysis, system testing and improvement enhancement.
6) In charge of Infrastructure troubleshooting and support.
7) Networking support, Implementing and administering as well as design IT Network Infrastructure.
8) Create, update and maintaining IT Documentation.
9) Update, maintain and perform Computer Inventory periodically.
10) Handling 5S for working area and Server Room
11) Handling CCTV, Email System, Keyphone System, network Infrastructure, Firewall and Antivirus Server
12) Ensure software and hardware license compliance.
13) To develop RTC reports and SQL report builder for Microsoft Dynamic NAV Solution.
REQUIREMENT:
Minimum of University Degree or equivalent in Computer Science / Information Systems / Information Technology.
At least 1 years of working experience in related field.
A good proven track report in academic achievement and fluency English is essential.
Software Development Life Cycle data analysis and ERP hands on knowledge is required.
Excellent communication, documentation, and negotiation skills are critical.
Knowledge with SQL Database environment.
PHP and AJAX knowledge is an added advantage.","Information & Communication Technology, Management, management-information-system-executive, Full time",Data Analyst,Description
74648656,Accounting Senior Research Analyst,Ideagen Plc.,Shah Alam/Subang,Unknown,2,3,3200,4500,Unknown,Unknown,2024-03-22 01:42:54,"About Us:
We are seeking a detail-oriented and highly organized Accounting Senior Research Analyst who specializes in SEC (US Securities and Exchange Commission) accounting regulations. As a key member of our Audit Analytics Data Operations team, you will play a critical role in ensuring accurate and timely data entry of financial information pertaining to SEC reporting standards. Your expertise in SEC accounting regulations will be essential in analyzing and categorizing complex financial disclosures in our regulatory accounting databases.
The Accounting Senior Research Analyst will be the local expert within the Malaysian team and will provide technical guidance to junior members of the Data Operations team. They will liaise with the US - based Research team to ensure consistent methodologies are applied across a wide variety of accounting-related data collection procedures.
Role Overview:
SEC Reporting Analysis: Apply your specialized knowledge of SEC accounting regulations to ensure all data is categorized in accordance with the appropriate reporting standards (e.g.,
GAAP, IFRS
) and SEC requirements.
Training and mentoring: Perform training and mentoring of junior level team members to expand their knowledge of SEC/IFRS accounting regulations in the context of data entry into Audit Analytics proprietary databases.
Quality Assurance: Execute regular quality checks on entered data to identify and rectify any discrepancies or errors promptly. Assist in developing and implementing data quality control measures to enhance the accuracy of financial reporting.
Continuous Learning: Stay up to date with evolving SEC accounting regulations, reporting requirements, and industry best practices. Proactively seek opportunities for professional development to enhance your expertise in SEC regulations.
Data Entry and Verification: Accurately enter financial data concerning, but not limited to, income statements, balance sheets, cash flow statements, and footnotes, into relevant databases or systems. Verify the accuracy of entered data through careful review and cross referencing with source documents.
About You:
Bachelor's or Master’s degree in Accounting, Finance, or a related field. CPA designation is a plus.
High level of reading comprehension (in English).
5+ years experience in accounting or related field.
Proven experience in accurate data entry, preferably within a finance or accounting context.  In-depth understanding of SEC accounting regulations, reporting standards, and disclosure requirements.
Exceptional attention to detail and a strong commitment to data accuracy.
Excellent organizational skills with the ability to manage multiple tasks and deadlines.  Strong analytical and problem-solving abilities to identify discrepancies and implement corrective measures.
Effective communication skills to collaborate with cross-functional teams and present findings.
Behaviours
Adventurous - Drive, Planning & Execution
Ambitious - Flexibility & Resilience, Savvy Thinking
Community - Collaboration, Communication","Accounting, Financial Accounting & Reporting, research-analyst, Full time",Data Analyst,Description
