job_id,country,original_title,normalized_title,company,location,category,sub_category,role_type,salary_raw,salary_min,salary_max,currency,salary_period,posting_date,source_name,reliability,limitation
270925008041,India,Sr. HR Recruiter (NON IT),,Orion,Kolkata(Chinar Park),Human Resources,Recruitment / HR,,2-4 Lacs PA,2.0,400000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (2-4 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
270925007584,India,Fire And Safety Officer,,"Apollo Hospitals International Limited, Ahmedabad","Gandhinagar, Ahmedabad",Other,Other / General,,3-5 Lacs PA,3.0,500000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (3-5 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
270925007492,India,Opening For Performance Marketing - Chennai,,TVS Credit Services Ltd,Chennai,Sales & Marketing,Marketing,,Not disclosed,,,,,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — High title and location fidelity; suitable for exploratory descriptive and NLP analysis.,Salary undisclosed (68% dataset non-disclosure). Listing date and employment role type not provided in source data.
270925007443,India,Medical Billing Executive,,GNR Global Services,"Mohali, Chandigarh, Kharar, Zirakpur",Healthcare,Medical / Healthcare,,"70,000-2 Lacs PA",70000.0,200000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (70,000-2 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
270925007430,India,Senior Group Product Manager -  CNS Therapy,,Cadila Pharmaceuticals,Ahmedabad,Other,Other / General,,8-18 Lacs PA,8.0,1800000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (8-18 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
270925007323,India,Senior Accountant,,Vedaant Techno Art,"Noida, Greater Noida",Finance & Accounting,Accounting / Finance,,3.5-6 Lacs PA,3.5,600000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (3.5-6 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
270925007180,India,Maintenance Technician,,Avalon Technologies,"Sriperumbudur, Chennai, Kanchipuram",Other,Other / General,,Not disclosed,,,,,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — High title and location fidelity; suitable for exploratory descriptive and NLP analysis.,Salary undisclosed (68% dataset non-disclosure). Listing date and employment role type not provided in source data.
270925006659,India,Officer/Engineer Technical,,Balkrishna Industries (BKT),Aurangabad(Waluj),Other,Other / General,,Not disclosed,,,,,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — High title and location fidelity; suitable for exploratory descriptive and NLP analysis.,Salary undisclosed (68% dataset non-disclosure). Listing date and employment role type not provided in source data.
270925006525,India,Officer- Technical Lab,,Balkrishna Industries (BKT),Aurangabad(Waluj),Other,Other / General,,Not disclosed,,,,,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — High title and location fidelity; suitable for exploratory descriptive and NLP analysis.,Salary undisclosed (68% dataset non-disclosure). Listing date and employment role type not provided in source data.
270925006315,India,Site Reliability Engineer,,Coforge,"New Delhi, Gurugram, Greater Noida",IT & Technology,Cloud / DevOps,,Not disclosed,,,,,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — High title and location fidelity; suitable for exploratory descriptive and NLP analysis.,Salary undisclosed (68% dataset non-disclosure). Listing date and employment role type not provided in source data.
270925006180,India,Hiring For Voice & Chat Process,,GNR Global Services,"Mohali, Chandigarh",Other,Other / General,,"50,000-1.75 Lacs PA",50000.0,175000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (50,000-1.75 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
270925005692,India,Talent Acquisition Professional,,Knorr Bremse,"Palwal, Faridabad",Human Resources,Recruitment / HR,,Not disclosed,,,,,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — High title and location fidelity; suitable for exploratory descriptive and NLP analysis.,Salary undisclosed (68% dataset non-disclosure). Listing date and employment role type not provided in source data.
270925005277,India,Hiring For Chat Process,,GNR Global Services,"Mohali, Chandigarh",Other,Other / General,,"50,000-2.5 Lacs PA",50000.0,250000.0,INR,annual,,Indian Job Market Dataset 2025 (uploaded source dataset),Moderate — Salary explicitly stated as advertised range; final pay may vary.,"Salary range (50,000-2.5 Lacs PA) is advertised, not verified final compensation. Listing date and employment type omitted in source."
